The test problem	The pareto optimal paths	The objective values	Number of paths
Test problem 10	Path10_1052_1052	97,47.2,12.7,35,25.2,22.4,47.1	1
Test problem 10	Path10_1053_1053	97,47.2,12.7,35.3,24.8,22.5,47.2	1
Test problem 10	Path10_1054_1054	97,47.2,12.7,35.7,24.5,22.5,47.4	1
Test problem 10	Path10_1055_1055	97,47.2,12.7,45.6,20.7,25.9,39.5	1
Test problem 10	Path10_1056_1056	97,47.2,13.1,35.5,25.2,21.9,45.5	1
Test problem 10	Path10_1057_1057	97,47.2,13.1,35.9,24.9,21.9,45.7	1
Test problem 10	Path10_1058_1058	97,47.2,16.3,34.6,18.5,29.4,38.7	1
Test problem 10	Path10_1059_1059	97,47.3,12.7,44.9,20.3,25.2,37.5	1
Test problem 10	Path10_1060_1060	97,47.3,13.1,35.3,25.4,21.9,45.7	1
Test problem 10	Path10_1061_1061	97,47.3,13.1,35.7,25.1,21.9,45.9	1
Test problem 10	Path10_1062_1062	97,47.3,13.1,45.5,19.9,26,37.8	1
Test problem 10	Path10_1063_1063	97,47.3,15.9,32.6,27,23.9,41.7	1
Test problem 10	Path10_1064_1064	97,47.3,16.4,34.9,19.3,28.6,38.7	1
Test problem 10	Path10_1065_1065	97,47.4,12.7,35.9,24.8,22.3,47	1
Test problem 10	Path10_1066_1066	97,47.4,12.7,45.1,20.3,24.9,37.8	1
Test problem 10	Path10_1067_1067	97,47.4,13.1,34.9,25.2,22.2,46.2	1
Test problem 10	Path10_1068_1068	97,47.4,13.1,35.1,24.5,22.5,46.5	1
Test problem 10	Path10_1069_1069	97,47.4,13.1,35.5,24.2,22.5,46.7	1
Test problem 10	Path10_1070_1070	97,47.4,13.1,45.7,19.9,25.7,38.1	1
Test problem 10	Path10_1071_1072	97,47.4,16.3,34.6,18.4,29.3,38.8	2
Test problem 10	Path10_1073_1074	97,47.5,12.7,44.9,20.2,25.1,37.6	2
Test problem 10	Path10_1075_1075	97,47.5,13.1,35.5,25.7,21.7,45.3	1
Test problem 10	Path10_1076_1076	97,47.5,13.1,35.9,25.4,21.7,45.5	1
Test problem 10	Path10_1077_1078	97,47.5,16.4,34.9,19.2,28.5,38.8	2
Test problem 10	Path10_1079_1079	97,47.6,12.7,34.8,25.6,21.8,46.6	1
Test problem 10	Path10_1080_1080	97,47.6,12.7,35,24.9,22.1,46.9	1
Test problem 10	Path10_1081_1081	97,47.6,12.7,35.2,25.3,21.8,46.8	1
Test problem 10	Path10_1082_1082	97,47.6,12.7,35.4,24.6,22.1,47.1	1
Test problem 10	Path10_1083_1084	97,47.6,12.7,45.1,20.2,24.8,37.9	2
Test problem 10	Path10_1085_1085	97,47.6,13.1,35.3,24.8,22.3,46.1	1
Test problem 10	Path10_1086_1086	97,47.6,13.1,35.7,24.5,22.3,46.3	1
Test problem 10	Path10_1087_1087	97,47.6,15.1,34,21.1,23.4,41	1
Test problem 10	Path10_1088_1088	97,47.7,13.1,35.1,25,22.3,46.3	1
Test problem 10	Path10_1089_1089	97,47.7,13.1,35.5,24.7,22.3,46.5	1
Test problem 10	Path10_1090_1090	97,47.8,12.7,35.2,25.2,21.9,46.5	1
Test problem 10	Path10_1091_1091	97,47.8,12.7,35.6,24.9,21.9,46.7	1
Test problem 10	Path10_1092_1092	97,47.8,13.1,45.2,19.3,25.5,36.8	1
Test problem 10	Path10_1093_1093	97,47.9,12.7,35,25.4,21.9,46.7	1
Test problem 10	Path10_1094_1094	97,47.9,12.7,35.4,25.1,21.9,46.9	1
Test problem 10	Path10_1095_1095	97,47.9,12.7,45.2,19.9,26,38.8	1
Test problem 10	Path10_1096_1096	97,47.9,13.1,45.4,19.3,25.2,37.1	1
Test problem 10	Path10_1097_1097	97,48,12.7,34.6,25.2,22.2,47.2	1
Test problem 10	Path10_1098_1098	97,48,12.7,34.8,24.5,22.5,47.5	1
Test problem 10	Path10_1099_1099	97,48,12.7,35.2,24.2,22.5,47.7	1
Test problem 10	Path10_1100_1100	97,48,12.7,45.4,19.9,25.7,39.1	1
Test problem 10	Path10_1101_1102	97,48,13.1,45.2,19.2,25.4,36.9	2
Test problem 10	Path10_1103_1103	97,48,14.3,36.2,20.3,29.3,38.4	1
Test problem 10	Path10_1104_1104	97,48.1,12.7,35.2,25.7,21.7,46.3	1
Test problem 10	Path10_1105_1105	97,48.1,12.7,35.6,25.4,21.7,46.5	1
Test problem 10	Path10_1106_1107	97,48.1,13.1,45.4,19.2,25.1,37.2	2
Test problem 10	Path10_1108_1108	97,48.1,14.4,36.5,21.1,28.5,38.4	1
Test problem 10	Path10_1109_1109	97,48.2,12.7,35,24.8,22.3,47.1	1
Test problem 10	Path10_1110_1110	97,48.2,12.7,35.4,24.5,22.3,47.3	1
Test problem 10	Path10_1111_1111	97,48.2,15.1,34.3,20.7,24.2,42.3	1
Test problem 10	Path10_1112_1112	97,48.3,12.7,34.8,25,22.3,47.3	1
Test problem 10	Path10_1113_1113	97,48.3,12.7,35.2,24.7,22.3,47.5	1
Test problem 10	Path10_1114_1114	97,48.4,12.7,44.9,19.3,25.5,37.8	1
Test problem 10	Path10_1115_1115	97,48.4,13.1,45.5,18.9,26.3,38.1	1
Test problem 10	Path10_1116_1116	97,48.4,15.1,33.8,20.3,23.2,40.6	1
Test problem 10	Path10_1117_1117	97,48.5,12.7,45.1,19.3,25.2,38.1	1
Test problem 10	Path10_1118_1118	97,48.5,13.1,45.7,18.9,26,38.4	1
Test problem 10	Path10_1119_1120	97,48.6,12.7,44.9,19.2,25.4,37.9	2
Test problem 10	Path10_1121_1121	97,48.6,13.9,35.9,20.3,29.3,39.4	1
Test problem 10	Path10_1122_1123	97,48.6,15.1,33.8,20.2,23.1,40.7	2
Test problem 10	Path10_1124_1125	97,48.7,12.7,45.1,19.2,25.1,38.2	2
Test problem 10	Path10_1126_1126	97,48.7,14,36.2,21.1,28.5,39.4	1
Test problem 10	Path10_1127_1127	97,48.8,14.3,36,19.5,29.1,38	1
Test problem 10	Path10_1128_1128	97,48.9,14.4,36.3,20.3,28.3,38	1
Test problem 10	Path10_1129_1129	97,49,12.7,45.2,18.9,26.3,39.1	1
Test problem 10	Path10_1130_1131	97,49,14.3,36,19.4,29,38.1	2
Test problem 10	Path10_1132_1132	97,49,15.1,34.1,19.9,24,41.9	1
Test problem 10	Path10_1133_1133	97,49.1,12.7,45.4,18.9,26,39.4	1
Test problem 10	Path10_1134_1135	97,49.1,14.4,36.3,20.2,28.2,38.1	2
Test problem 10	Path10_1136_1136	97,49.4,13.9,35.7,19.5,29.1,39	1
Test problem 10	Path10_1137_1137	97,49.5,14,36,20.3,28.3,39	1
Test problem 10	Path10_1138_1138	97,49.5,15.1,33.8,19.3,23.5,40.9	1
Test problem 10	Path10_1139_1140	97,49.6,13.9,35.7,19.4,29,39.1	2
Test problem 10	Path10_1141_1142	97,49.7,14,36,20.2,28.2,39.1	2
Test problem 10	Path10_1143_1144	97,49.7,15.1,33.8,19.2,23.4,41	2
Test problem 10	Path10_1145_1145	97,49.9,14.3,36,18.5,29.4,38.3	1
Test problem 10	Path10_1146_1146	97,50,14.4,36.3,19.3,28.6,38.3	1
Test problem 10	Path10_1147_1148	97,50.1,14.3,36,18.4,29.3,38.4	2
Test problem 10	Path10_1149_1149	97,50.1,15.1,34.1,18.9,24.3,42.2	1
Test problem 10	Path10_1150_1151	97,50.2,14.4,36.3,19.2,28.5,38.4	2
Test problem 10	Path10_1152_1152	97,50.3,13.1,35.4,21.1,23.4,40.6	1
Test problem 10	Path10_1153_1153	97,50.5,13.9,35.7,18.5,29.4,39.3	1
Test problem 10	Path10_1154_1154	97,50.6,14,36,19.3,28.6,39.3	1
Test problem 10	Path10_1155_1156	97,50.7,13.9,35.7,18.4,29.3,39.4	2
Test problem 10	Path10_1157_1158	97,50.8,14,36,19.2,28.5,39.4	2
Test problem 10	Path10_1159_1159	97,50.9,12.7,35.1,21.1,23.4,41.6	1
Test problem 10	Path10_1160_1160	97,50.9,13.1,35.7,20.7,24.2,41.9	1
Test problem 10	Path10_1161_1161	97,51.1,13.1,35.2,20.3,23.2,40.2	1
Test problem 10	Path10_1162_1163	97,51.3,13.1,35.2,20.2,23.1,40.3	2
Test problem 10	Path10_1164_1164	97,51.5,12.7,35.4,20.7,24.2,42.9	1
Test problem 10	Path10_1165_1165	97,51.7,12.7,34.9,20.3,23.2,41.2	1
Test problem 10	Path10_1166_1166	97,51.7,13.1,35.5,19.9,24,41.5	1
Test problem 10	Path10_1167_1168	97,51.9,12.7,34.9,20.2,23.1,41.3	2
Test problem 10	Path10_1169_1169	97,52.2,13.1,35.2,19.3,23.5,40.5	1
Test problem 10	Path10_1170_1170	97,52.3,12.7,35.2,19.9,24,42.5	1
Test problem 10	Path10_1171_1172	97,52.4,13.1,35.2,19.2,23.4,40.6	2
Test problem 10	Path10_1173_1173	97,52.8,12.7,34.9,19.3,23.5,41.5	1
Test problem 10	Path10_1174_1174	97,52.8,13.1,35.5,18.9,24.3,41.8	1
Test problem 10	Path10_1175_1176	97,53,12.7,34.9,19.2,23.4,41.6	2
Test problem 10	Path10_1177_1177	97,53.4,12.7,35.2,18.9,24.3,42.8	1
Test problem 10	Path10_1178_1178	105,19.9,32.2,26,48.7,20.5,58.9	1
Test problem 10	Path10_1179_1179	105,20.2,32.9,26,46.8,18.7,58.2	1
Test problem 10	Path10_1180_1180	105,22.3,29,26.9,47.8,20.5,57.1	1
Test problem 10	Path10_1181_1181	105,22.6,29.7,26.9,45.9,18.7,56.4	1
Test problem 10	Path10_1182_1182	105,22.8,28.8,27.5,46.5,20.5,57.6	1
Test problem 10	Path10_1183_1183	105,23.1,29.5,27.5,44.6,18.7,56.9	1
Test problem 10	Path10_1184_1184	105,24.4,27.5,26,47.7,20.5,56.1	1
Test problem 10	Path10_1185_1185	105,24.7,28.2,26,45.8,18.7,55.4	1
Test problem 10	Path10_1186_1186	105,24.9,27.3,26.6,46.4,20.5,56.6	1
Test problem 10	Path10_1187_1187	105,25.2,28,26.6,44.5,18.7,55.9	1
Test problem 10	Path10_1188_1188	105,26.2,26,26.2,47.3,20.5,56.8	1
Test problem 10	Path10_1189_1189	105,26.5,26.7,26.2,45.4,18.7,56.1	1
Test problem 10	Path10_1190_1190	105,26.7,25.8,26.8,46,20.5,57.3	1
Test problem 10	Path10_1191_1191	105,27,26.5,26.8,44.1,18.7,56.6	1
Test problem 10	Path10_1192_1192	105,28.6,17.1,55.1,17.3,38.5,39.2	1
Test problem 10	Path10_1193_1193	105,30,23.4,27.9,46,20.5,57.9	1
Test problem 10	Path10_1194_1194	105,30.6,18.9,54.7,18.9,37.6,33.1	1
Test problem 10	Path10_1195_1195	105,31.3,15.1,56.5,17.3,38.5,38.8	1
Test problem 10	Path10_1196_1196	105,31.9,14.7,56.2,17.3,38.5,39.8	1
Test problem 10	Path10_1197_1197	105,33.3,16,54.9,18.9,37.4,35.2	1
Test problem 10	Path10_1198_1198	105,33.4,16,55.1,18.9,37.1,35.5	1
Test problem 10	Path10_1199_1199	105,33.9,17.1,48.8,17.3,37.2,39.5	1
Test problem 10	Path10_1200_1200	105,34,18.6,54.1,18.5,33.8,34.7	1
Test problem 10	Path10_1201_1201	105,34.5,18.6,53.1,18.5,36.1,34.4	1
Test problem 10	Path10_1202_1202	105,35.5,14.2,55.9,18.9,37.1,35	1
Test problem 10	Path10_1203_1203	105,36,13.8,55.4,18.9,37.4,35.7	1
Test problem 10	Path10_1204_1205	105,36,16.5,44.7,17.1,41.2,37.5	2
Test problem 10	Path10_1206_1206	105,36.1,13.8,55.6,18.9,37.1,36	1
Test problem 10	Path10_1207_1207	105,36.3,16.5,44.8,17.1,40.9,37.5	1
Test problem 10	Path10_1208_1208	105,36.6,15.1,50.2,17.3,37.2,39.1	1
Test problem 10	Path10_1209_1209	105,36.7,15.7,54.3,18.5,33.6,36.8	1
Test problem 10	Path10_1210_1210	105,36.8,15.7,54.5,18.5,33.3,37.1	1
Test problem 10	Path10_1211_1211	105,37.2,14.7,49.9,17.3,37.2,40.1	1
Test problem 10	Path10_1212_1212	105,37.2,15.7,53.3,18.5,35.9,36.5	1
Test problem 10	Path10_1213_1213	105,37.3,15.7,53.5,18.5,35.6,36.9	1
Test problem 10	Path10_1214_1214	105,37.6,17.1,47.5,17.3,37.2,39.7	1
Test problem 10	Path10_1215_1216	105,38.1,16.5,41.8,17.1,39.1,37.2	2
Test problem 10	Path10_1217_1218	105,38.5,17.1,48.9,20.2,33.5,41.7	2
Test problem 10	Path10_1219_1219	105,38.8,13.9,55.1,18.5,33.6,36.3	1
Test problem 10	Path10_1220_1220	105,38.9,13.9,55.3,18.5,33.3,36.6	1
Test problem 10	Path10_1221_1221	105,39.3,13.9,54.1,18.5,35.9,36	1
Test problem 10	Path10_1222_1222	105,39.3,18.6,47.8,18.5,32.5,35	1
Test problem 10	Path10_1223_1223	105,39.4,13.5,54.8,18.5,33.6,37.3	1
Test problem 10	Path10_1224_1224	105,39.4,13.9,54.3,18.5,35.6,36.4	1
Test problem 10	Path10_1225_1225	105,39.5,13.5,55,18.5,33.3,37.6	1
Test problem 10	Path10_1226_1226	105,39.9,13.5,53.8,18.5,35.9,37	1
Test problem 10	Path10_1227_1227	105,40,13.5,54,18.5,35.6,37.4	1
Test problem 10	Path10_1228_1228	105,40.3,15.1,48.9,17.3,37.2,39.3	1
Test problem 10	Path10_1229_1230	105,40.8,14.5,43.2,17.1,39.1,36.8	2
Test problem 10	Path10_1231_1231	105,40.9,14.7,48.6,17.3,37.2,40.3	1
Test problem 10	Path10_1232_1233	105,41.2,15.1,50.3,20.2,33.5,41.3	2
Test problem 10	Path10_1234_1235	105,44.6,15.9,47.7,20,25,45.1	2
Test problem 10	Path10_1236_1236	105,44.7,13.5,48.5,18.5,32.3,37.6	1
Test problem 10	Path10_1237_1237	105,44.8,13.5,48.7,18.5,32,37.9	1
Test problem 10	Path10_1238_1238	105,46.9,17.1,42.1,19.3,31.4,40.5	1
Test problem 10	Path10_1239_1240	105,47.1,17.1,42.1,19.2,31.3,40.6	2
Test problem 10	Path10_1241_1242	105,47.2,15.9,46.4,21,24.7,45	2
Test problem 10	Path10_1243_1244	105,47.3,13.9,49.1,20,25,44.7	2
Test problem 10	Path10_1245_1246	105,47.9,13.5,48.8,20,25,45.7	2
Test problem 10	Path10_1247_1248	105,48.3,15.9,46.4,20,25,45.3	2
Test problem 10	Path10_1249_1249	105,48.4,13.5,47.2,18.5,32.3,37.8	1
Test problem 10	Path10_1250_1250	105,48.5,13.5,47.4,18.5,32,38.1	1
Test problem 10	Path10_1251_1251	105,49.5,15.9,36.1,18.5,30.3,40.9	1
Test problem 10	Path10_1252_1252	105,49.6,15.1,43.5,19.3,31.4,40.1	1
Test problem 10	Path10_1253_1254	105,49.8,15.1,43.5,19.2,31.3,40.2	2
Test problem 10	Path10_1255_1256	105,49.9,13.9,47.8,21,24.7,44.6	2
Test problem 10	Path10_1257_1258	105,50.5,13.5,47.5,21,24.7,45.6	2
Test problem 10	Path10_1259_1260	105,51,13.9,47.8,20,25,44.9	2
Test problem 10	Path10_1261_1262	105,51.6,13.5,47.5,20,25,45.9	2
Test problem 10	Path10_1263_1263	105,52.8,13.5,37.2,18.5,30.3,41.5	1
Test problem 10	Path10_1264_1264	113,39.1,16.7,56.3,19.3,33.2,44.7	1
Test problem 10	Path10_1265_1265	121,15,63.3,27.6,58.6,27.4,64.5	1
Test problem 10	Path10_1266_1266	121,16,60.6,27.6,59.6,27.4,63.8	1
Test problem 10	Path10_1267_1267	121,16.4,36.6,65,20.1,60.5,28.8	1
Test problem 10	Path10_1268_1268	121,17.9,33.8,64.6,19.8,60.4,28.8	1
Test problem 10	Path10_1269_1269	121,18.1,32.4,63.7,20.2,60.8,28.8	1
Test problem 10	Path10_1270_1270	121,18.3,34.2,64.4,20.1,61.7,28.8	1
Test problem 10	Path10_1271_1271	121,18.3,54.5,27.6,59.9,23.7,67	1
Test problem 10	Path10_1272_1272	121,18.4,33,64.1,20.1,60.7,28.8	1
Test problem 10	Path10_1273_1273	121,18.4,57.4,28.5,58.7,27.4,62	1
Test problem 10	Path10_1274_1274	121,18.5,54.4,27.6,59.6,24.9,65.2	1
Test problem 10	Path10_1275_1275	121,18.6,55.2,27.6,58,21.9,66.3	1
Test problem 10	Path10_1276_1276	121,19.3,51.8,27.6,60.9,23.7,66.3	1
Test problem 10	Path10_1277_1277	121,19.5,51.7,27.6,60.6,24.9,64.5	1
Test problem 10	Path10_1278_1278	121,19.6,52.5,27.6,59,21.9,65.6	1
Test problem 10	Path10_1279_1279	133,17.2,42.8,63.8,33.6,66.3,30	1
Test problem 10	Path10_1280_1280	133,19.1,40.4,63.2,33.6,67.5,30	1
Test problem 11	Path11_1_3	41,15.8	3
Test problem 11	Path11_4_4	51,15	1
Test problem 12	Path12_1_2	51,15.3,20.2	2
Test problem 12	Path12_3_4	51,16.9,15.9	2
Test problem 12	Path12_5_6	59,26,15.5	2
Test problem 12	Path12_7_8	59,27.7,15.2	2
Test problem 12	Path12_9_10	65,25.1,15	2
Test problem 12	Path12_11_12	65,26.6,13.3	2
Test problem 12	Path12_13_14	65,28.3,13	2
Test problem 12	Path12_15_16	73,35.7,12.9	2
Test problem 12	Path12_17_20	73,37.4,12.6	4
Test problem 12	Path12_21_22	73,39.1,12.3	2
